  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 64 9.0957E-02 8.4514E+04 7.0791E+07
 65 1.0017E-01 9.1668E+04 6.9423E+07
 66 1.1017E-01 9.8060E+04 6.7700E+07
 67 1.2099E-01 1.0352E+05 6.5661E+07
 68 1.3269E-01 1.0839E+05 6.3465E+07
 69 1.4531E-01 1.1310E+05 6.1223E+07
 70 1.5891E-01 1.1796E+05 5.8975E+07
 71 1.7354E-01 1.2332E+05 5.6779E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3593E+05 5.2548E+07
 74 2.2409E-01 1.4296E+05 5.0461E+07
 75 2.4334E-01 1.4997E+05 4.8329E+07
 76 2.6387E-01 1.5655E+05 4.6122E+07
 77 2.8572E-01 1.6224E+05 4.3818E+07
 78 3.0895E-01 1.6672E+05 4.1415E+07
 79 3.3359E-01 1.6988E+05 3.8935E+07
 80 3.5970E-01 1.7166E+05 3.6401E+07
 81 3.8729E-01 1.7221E+05 3.3846E+07
 82 4.1642E-01 1.7175E+05 3.1301E+07
 83 4.4710E-01 1.7045E+05 2.8789E+07
 84 4.7937E-01 1.6857E+05 2.6334E+07
 85 5.1324E-01 1.6627E+05 2.3951E+07
 86 5.4873E-01 1.6367E+05 2.1649E+07
 87 5.8584E-01 1.6091E+05 1.9437E+07
 88 6.2459E-01 1.5804E+05 1.7317E+07
 89 6.6495E-01 1.5510E+05 1.5293E+07
 90 7.0692E-01 1.5214E+05 1.3367E+07
 91 7.5048E-01 1.4918E+05 1.1540E+07
 92 7.9560E-01 1.4621E+05 9.8138E+06
 93 8.4225E-01 1.4327E+05 8.1908E+06
 94 8.9037E-01 1.4039E+05 6.6731E+06
 95 9.3991E-01 1.3755E+05 5.2633E+06
 96 9.9080E-01 1.3460E+05 5.1251E+06
 97 1.0430E+00 1.3147E+05 5.0240E+06
 98 1.0964E+00 1.2818E+05 4.9245E+06
 99 1.1508E+00 1.2508E+05 4.8310E+06
100 1.2063E+00 1.2229E+05 8.1572E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8019E+08
  2 1.4513E-05 2.7163E+03 4.6270E+08
  3 1.7446E-05 2.7163E+03 4.4216E+08
  4 2.0943E-05 2.7163E+03 4.1788E+08
  5 2.5106E-05 2.7163E+03 3.9132E+08
