Type		STD		Rate at Bottom		Rate at Top
R		576		6.480000e-12		6.480000e-12
R		577		1.000000e-12		1.000000e-12
R		578		5.896168e-11		9.316816e-11
R		579		1.000000e-11		1.000000e-11
R		596		1.260000e-11		1.260000e-11
R		597		9.240000e-11		9.240000e-11
R		598		1.200000e-11		1.200000e-11
R		599		5.900000e-11		5.900000e-11
R		608		2.016469e-11		1.022176e-11
R		611		1.398039e-41		1.304246e-62
R		617		1.800000e-11		1.800000e-11
R		618		1.935842e-12		5.628418e-13
R		639		1.657523e-13		9.282488e-15
R		640		3.453972e-11		4.710382e-11
R		641		2.660000e-12		2.660000e-12
R		642		1.900000e-11		1.900000e-11
R		643		5.000000e-12		5.000000e-12
R		644		1.421871e-13		6.523259e-14
R		645		2.000000e-12		2.000000e-12
M		2		1.446796e-12		7.095007e-20
M		3		5.650736e-11		2.441583e-14
M		4		8.012808e-13		2.735930e-18
M		5		2.293081e-11		1.268409e-17
M		6		4.738284e-18		1.303854e-28
M		7		3.746498e-13		1.249545e-19
M		9		1.159301e-12		2.356627e-15
M		10		2.994525e-11		3.757046e-18
M		11		2.400336e-11		1.131269e-18
M		12		1.234953e-15		6.694503e-23
M		13		1.286403e-14		1.050183e-20
M		14		7.335484e-11		1.139146e-17
M		15		8.216121e-13		3.359038e-20
M		16		9.151784e-13		7.580821e-20
M		17		1.086537e-12		1.391990e-19
M		18		1.475136e-11		2.016892e-18
M		19		1.058499e-12		3.970322e-19
M		20		1.268226e-12		1.148162e-18
M		21		2.130707e-14		2.291104e-21
M		22		2.152588e-13		9.679691e-21
M		23		1.134446e-12		5.148772e-20
M		24		1.920441e-20		8.546923e-26
M		25		4.985597e-16		2.452455e-20
M		26		2.112318e-13		1.354665e-20
M		27		2.858792e-11		1.011198e-16
M		28		1.685179e-11		5.563159e-16
M		29		1.337217e-12		1.167440e-17
M		31		3.468104e-17		3.387964e-25
M		32		1.582888e-12		2.040516e-19
M		33		3.860830e-12		8.022880e-19
M		34		2.496045e-14		8.794872e-21
M		35		1.398765e-14		2.172079e-21
M		36		5.432091e-17		4.619960e-24
M		37		0.000000e+00		0.000000e+00
M		38		7.980662e-12		6.915232e-16
M		39		1.035089e-13		2.115257e-20
M		40		1.497287e-10		3.178583e-15
M		41		1.576377e-13		3.251993e-13
M		42		7.177567e-12		2.826146e-18
M		43		1.025386e-11		8.817792e-18
M		44		6.061808e-12		1.188589e-18
M		45		4.574220e-14		6.551028e-21
M		46		9.263073e-12		1.546847e-18
M		47		7.860315e-12		9.654610e-25
M		48		3.997197e-14		2.259855e-22
M		49		1.218874e-14		6.442062e-22
M		50		9.359409e-13		2.520062e-18
M		51		1.157877e-12		1.362643e-19
M		52		1.958400e-11		3.272869e-18
M		53		1.958400e-11		3.272869e-18
M		54		2.594632e-11		6.752286e-17
M		55		9.505001e-12		6.752255e-17
M		56		1.149768e-11		4.402994e-17
M		57		2.815743e-10		1.639148e-16
M		58		7.283360e-11		4.972737e-18
M		73		7.979384e-11		2.091117e-17
M		85		7.304397e-11		7.392418e-17
M		86		1.292365e-10		1.392542e-14
M		88		5.202034e-16		1.670368e-25
M		89		1.344261e-13		1.280042e-13
M		90		8.670378e-12		1.645971e-11
T		1		5.613391e-07		2.029812e-25
T		2		4.450050e-25		3.840971e-56
T		3		1.233890e-22		1.210833e-53
T		4		2.934354e-35		8.195707e-72
T		5		2.404122e-40		2.626172e-84
T		6		2.803866e-03		2.440256e-09
T		7		5.235853e-02		7.328754e-18
T		8		6.942564e-25		2.739704e-57
T		9		1.286097e-21		6.595316e-53
T		10		2.222787e-21		1.779195e-51
T		13		1.041997e-01		2.622581e-19
T		14		5.606272e-51		6.004442e-104
T		15		1.837422e-37		1.405470e-71
T		16		1.382244e-36		6.132645e-71
T		17		2.050927e-17		1.773570e-36
T		19		1.130834e-61		2.038652e-119
T		20		1.474479e-51		5.757892e-97
T		21		2.640109e-54		7.801355e-98
T		22		1.759598e-52		1.553411e-104
T		23		1.104601e-16		1.160512e-44
T		24		1.845638e-20		4.821305e-43
T		25		1.673034e-23		1.144796e-41
T		26		2.521159e-52		7.831751e-97
T		27		2.832565e-15		1.226286e-39
T		28		2.746317e-58		4.078211e-109
T		29		1.785259e-39		2.383133e-83
T		30		1.248942e-38		4.255378e-74
T		31		7.260953e-12		6.257912e-33
T		32		1.610708e-01		1.002931e-16
T		33		7.318531e-46		4.070237e-88
T		34		1.724643e-48		3.116700e-97
T		35		7.810785e-49		3.474040e-98
T		36		2.646626e-04		2.618614e-20
T		37		1.206176e-03		5.849615e-18
T		38		7.242604e-03		4.400987e-17
T		40		3.290026e-31		9.529724e-68
T		41		2.509429e-48		2.328160e-92
T		42		1.669666e-32		3.692223e-69
T		43		1.383874e-36		1.166588e-91
T		46		1.272631e-03		6.125210e-20
T		47		1.275011e-05		1.579640e-19
T		48		6.689866e-14		3.646965e-39
T		49		3.660887e-14		1.225878e-38
T		50		1.182031e-12		6.474252e-37
T		51		1.542371e-15		8.918297e-35
T		52		1.083990e-12		1.145636e-36
T		53		2.570186e-05		1.388044e-24
T		54		2.289822e+07		1.501030e+03
T		55		2.243652e+08		2.201025e+04
T		56		3.442335e+06		1.130154e+03
T		57		3.314973e-77		2.666221e-146
T		58		1.922731e-52		1.277817e-102
T		59		7.791398e-54		4.019221e-105
T		60		4.148403e-36		3.640182e-74
T		91		1.934341e-27		6.120370e-55
T		92		7.052690e-28		4.509703e-59
T		93		1.214091e-45		1.927385e-91
