Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  R553	SO2	+ O		= SO	+ O2		3.087764e-34
  R555	SO3	+ O		= SO2	+ O2		1.537030e-50
  R126	CS	+ O3		= O2	+ OCS		2.289074e-51

O2				LOSS RXS		INT RX RATE	TL = 4.11e+12

  M17	H	+ O2		= HO2			2.521815e+12
  M35	O	+ O2		= O3			1.290383e+12
  R645	O2	+ CHO2		= HO2	+ CO2		2.798770e+11
  P1	O2			= O	+ O		6.057543e+09
  R118	CHO	+ O2		= CO	+ HO2		5.300454e+09
  P2	O2			= O	+ O(1D)		4.879726e+09
  M4	CH3	+ O2		= CH3O2			8.163458e+08
  R81	CH3O	+ O2		= CH2O	+ HO2		7.241394e+08
  R6	C	+ O2		= CO	+ O		1.866135e+07
  R464	O(1D)	+ O2		= O	+ O2		1.095918e+07
  R26	C2H5O	+ O2		= C2H4O	+ HO2		3.159558e+03
  R293	N	+ O2		= NO	+ O		2.954260e-05
  R306	NH	+ O2		= OH	+ NO		1.679212e-07
  R307	NH	+ O2		= O	+ HNO		1.553957e-13
  R536	S	+ O2		= SO	+ O		2.787686e-15
  R275	HSO3	+ O2		= HO2	+ SO3		2.262220e-17
  R544	SO	+ O2		= SO2	+ O		5.935965e-19
  R273	HOSO	+ O2		= HO2	+ SO2		3.328980e-19
  R558	HSO	+ O2		= OH	+ SO2		1.388461e-20
  M21	HS	+ O2		= HOSO			3.914850e-21
  R562	SO21	+ O2		= O	+ SO3		1.787885e-24
  R268	HS	+ O2		= SO	+ OH		3.988962e-25
  R540	CS	+ O2		= OCS	+ O		8.398800e-49
  R89	CH3S	+ O2		= CH3	+ SO2		0.000000e+00

************************************************************

H2O				PRODUCTION RXS		INT RX RATE	TP = 4.02e+12

  M18	H	+ OH		= H2O			1.964144e+12
  R512	OH	+ H2		= H2O	+ H		1.364148e+12
  R522	OH	+ HO2		= H2O	+ O2		4.186589e+11
  R505	OH	+ CHO2		= CO2	+ H2O		1.784588e+11
  R513	OH	+ H2O2		= H2O	+ HO2		2.485413e+10
  R501	OH	+ CH4		= CH3	+ H2O		1.944708e+10
  R181	H	+ HO2		= O	+ H2O		1.763742e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.552603e+10
  R526	OH	+ OH		= H2O	+ O		8.751620e+09
  R167	H	+ H2O2		= OH	+ H2O		3.735228e+09
  R504	OH	+ CHO		= CO	+ H2O		2.900071e+09
  R502	OH	+ CH4O		= CH3O	+ H2O		5.475346e+08
  R503	OH	+ CH4O2		= CH3O2	+ H2O		6.785874e+07
  R499	OH	+ CH3O		= CH2O	+ H2O		2.332318e+06
  R496	OH	+ CH3		= CH2	+ H2O		1.613172e+06
  R489	OH	+ C2H4O		= C2H3O	+ H2O		1.711388e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		1.701481e+05
  R160	H	+ CH4O2		= CH3O	+ H2O		4.875207e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		7.676434e+03
  R490	OH	+ C2H5		= C2H4	+ H2O		5.984511e+03
  R519	OH	+ HNO		= H2O	+ NO		1.328459e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.244813e+01
