Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       290.09152      0.72660771
       290.10112      0.88206380
       290.14724      0.82281083
       290.14926      0.81077435
       290.19345       1.0202345
       290.20112       1.0160147
       290.27307       1.0876771
       290.29345       1.0974886
       290.30896       1.0284898
       290.38981       1.1238284
       290.49981      0.94058923
       290.57832       2.0459735
       290.64153       3926.4494
       290.66168       1.5678337
       290.73858       1.4726516
       290.74153       1.4883326
       290.74951       1.5321455
       290.84951       1.4174247
       290.89894       1.5566823
       290.98451       2.2966774
       291.01974       2.7848384
       291.18694       9.2193436
       291.22993       11.795056
       291.36604       134896.29
       291.46285       67920.363
       291.47296       10447.202
       291.55190       11.457767
       291.61644       3.9755754
       291.63642       4.9362824
       291.80075       3.2824642
       291.83515       2.5113081
       291.87872       1.9377601
       291.90986       1.8685297
       291.97872       1.8646615
       292.03910       1.7587334
       292.15497       2.1345189
       292.18630       1.9399923
       292.30219       1.7972149
       292.31621       1.8892960
       292.35167       2.4479357
       292.39857       2.1707010
       292.40542       2.2480191
       292.40920       2.2563164
       292.43896       27.447323
       292.44238       32.938210
       292.47446       2.2506087
       292.49857       2.2003917
       292.50542       2.2115665
       292.51604       2.2511270
       292.59067       4.5645713
       292.59161       4.5540731
       292.59863       22.730030
       292.69412       3.2351916
       292.73353       5.7491018
       292.92596       17.795082
       293.04364       3427.6779
       293.06795       78.995072
       293.16795       63.270315
       293.17234       55.220457
       293.21816       23.453086
       293.29384       12.462352
       293.38074       6.6726754
       293.39340       5.8465545
       293.48751       4.7228048
       293.52900       3.1637343
       293.54989       3.4095731
       293.62900       2.9060294
       293.72552       3.3090246
       293.74287       3.7385225
       293.80569       2.9682467
       293.82037       2.5650746
       293.88150       3.9545767
       293.96461       2.8760736
       293.97023       2.8067259
       294.00000       2.7076966
       294.03921       2.8483936
       294.11507       2.9750893
       294.21507       2.8827037
       294.26244       3.0725574
       294.33693       2.4099054
       294.51628       2.5421431
       294.64402       9.0782053
       294.66824       2.6079544
       294.74259       3.2832201
       294.75258       3.1841975
       294.84983       2.6742377
       294.96045       6.0048201
       294.97055       3.2870022
       295.01510       2.7535946
       295.04234       2.9087072
       295.06367       3.5751972
       295.14789       3.6066168
       295.26231       3.8185634
       295.36077       3.3759810
       295.41944       3.9527559
       295.51209       3.3014141
       295.51944       3.3311946
       295.56015       4.1238228
       295.60550       3.8291290
       295.63373       3.6366374
       295.65838       4.2364297
       295.66712       4.2491298
       295.70226       39.810717
       295.71600       35.784916
